name,price,status,shipping,free_returns,items_sold
5 Boxes 46 total Stix Arizona Sugar Free Green Tea Ginseng Iced Tea 0.7 oz Box,3499,Brand New,599,False,
Strawberry Oolong Tea,3250,Brand New,3,False,
TWININGS COLD BREWED ICED TEA ENGLISH CLASSIC UNSWEETENED 20 SINGLE SER TEA BAGS,599,Brand New,3,True,
Harney and Sons Iced Tea - Blood Orange - 15 Count,2465,Brand New,395,False,
Luzianne Special Blend Iced Tea Bags - Family Size 48ct,1050,Brand New,3,False,
Southern Breeze Sweet Tea Original Sweet Iced Tea - 22Ct 6 Pack,6947,Brand New,3,True,
1 BOX ( 12 SACHETS EACH BOX ) TEARRIFIC MAGIC MANGO SENTATION ICED TEA,8990,Brand New,0,False,82
MILFORD ICED TEA: Raspberry + Cherry 20 tea bags- FREE SHIPPING-SaLe SaLe,811,Brand New,3,False,
"Lipton Brisk Lemon Iced Tea, 36 pk./12 oz.",2688,Brand New,228,False,
"Ginger Peach Black Iced Tea by The Republic of Tea, 8 Pouches",1111,Brand New,0,True,
Lipton Iced Tea Mix Southern Sweet Tea 28 Qt Special Blend Made with Real Leaves,1659,Brand New,0,True,
"Stash Wild Raspberry Iced Tea - Caffeine Free, 24/1 Oz Tea Bags, Makes 24 Gal.",1599,Brand New,3,True,
Cha Thai Tea Leaves Mix for Making Thai Iced Tea Restaurant Style 13 oz.,1395,Brand New,3,False,
Number One Brand The Original Thai Iced Tea Mix - Imported Fresh From Thailand,1989,Brand New,3,False,
Thai Taro Tea Powder Instant Mix for Drink Iced Hot Beverage Red Leaf Brand 300g,2599,Brand New,0,False,
3 pack -Southern Breeze Cold Brew Sweet Tea Peach 20ct,2499,Brand New,0,False,
"Lipton Sweetened Ice Tea Mix, Raspberry 89.8 oz 2 PACK - FREE SHIPPING",1891,Brand New,300,False,
Organic Wild Blueberry Black Tea,499,Brand New,3,False,
"Pinky Up, Assorted Loose Leaf Teas 2.1 to 4 oz. Brand new & unopened. Delicious!",829,Brand New,299,False,
New Listing[2 BOX = 24 SACHETS] TEARRIFIC MAGIC MANGO SENTATION ICED TEA DHL EXPRESS,15900,Brand New,0,False,
Tea Southern Spiced Apple & Apricot Fruity Hot Iced Loose Leaf Aged Black Tea CB,447,Brand New,3,True,
Lipton Classic Unsweetened Iced Tea K Cup 6CT - Sell by Date 7/19/2021,2322,Brand New,3,False,
"Blueberry flavored Black Tea Organic - loose leaf, tea bags or ice tea bags ",725,Brand New,0,False,
"Pineapple Orange Guava Green Iced Tea by The Republic of Tea, 8 Pouches",1250,Brand New,0,True,
"Lipton Sweetened Ice Tea Mix, Raspberry (89.8 oz.) -Free Shipping-",1518,Brand New,3,False,
Passionfruit tango   iced pouch 12 count bag makes 32 oz of tea each fresh,1675,Brand New,3,False,
"Pure Leaf Iced BLACK Tea Pouches, 1 Packet Makes 3 Gallons, UNSWEETENED",500,Brand New,350,False,
"Lipton Iced Tea, Gallon Size Tea Bags (48 ct.) Free And Fast Shipping",1720,Brand New,3,False,
"Decaffeinated Iced Tea Bags, Family Size, Unsweetened, 144 Tea Bags (6 of 24 Ct)",3749,Brand New,0,False,
"Love Whispers Rooibos, Decaffeinated, Delicious for Hot or Iced, Loose Leaf Tea",1099,Brand New,3,False,
New Teavana Passion Tango Iced Tea Lot of 20 Bags Packs,9995,Brand New,0,False,
CCR Ice Tea Blend Orange Pekoe Loose Leaf Black Tea,2800,Brand New,3,False,
HB NEW 360 Arizona Lemon Iced Tea Stix Sugar Free INDIVIDUAL SERVE WATER 20 oz,2800,Brand New,3,False,
