name,price,status,shipping,free_returns,items_sold
2019-20 Mosaic LeBron James #8 Reactive Orange Prizm Los Angeles Lakers,1795,Pre-Owned,0,False,
2021-22 NBA Hoops INSERTS with Holo and Winter Parallels You Pick the Card,120,Pre-Owned,0,False,
2013-14 SP Authentic Basketball #14 LeBron James St. Vincent-St. Mary,300,Pre-Owned,115,False,
2021-22 Panini Prizm Draft Picks 1-100 + Inserts & Parallels - Pick Your Player!,99,,0,True,
2021-22 Panini Prizm Basketball ICE PRIZM Parallels ***You Pick***,179,Pre-Owned,0,False,
2020 High School Prospects BRONNY JAMES lebron jr. rookie,1499,,200,False,
**50% OFF** 2021-22 Optic NBA Basketball Complete Your Set - Pick Em - #1-150,100,Pre-Owned,057,False,
2004 Fleer USA Basketball Lebron James LeBron James,1175,,499,False,
New ListingLeBron James Panini Prizm NBA 2021-22 - Green Parallel - Card #91,1400,Pre-Owned,0,False,
New Listing2020 Select Lebron James Premier Level Cracked Ice Red Green #113 *PNCARDS*,800,Pre-Owned,105,False,
New ListingAustin Martin 2021 Bowman Chrome Prospects #BCP87 PSA 10,2499,Pre-Owned,0,False,
2004 National Trading Card Day Lebron James LeBron James #UD-7,974,,499,False,
2021-22 PANINI PRIZM Basketball RED WHITE BLUE PARALLELS *You Pick*,179,Pre-Owned,0,False,
2021-22 PANINI PRIZM BASKETBALL PARALLELS ***You Pick***,199,Pre-Owned,0,False,
LeBron James 2020-21 Donruss Optic BK Asia Red Wave Prizm #13,4999,,499,False,
2021-2022 Panini Donruss Optic NBA Rated Rookie - Inserts - Pick Your Player,100,,065,False,
2021-22 panini prizm basketball pick your card PYC ,125,Pre-Owned,0,False,
2020-21 Panini Flux Silver Cracked Ice Prizm Fanatics Pick Your Player Lamelo,99,Pre-Owned,3,False,
2020-21 Panini Chronicles Essentials #227 LeBron James Los Angeles Lakers,150,Pre-Owned,150,False,
2021-22 Donruss Optic Basketball Vet/Rookie Parallel/Insert PICK YOUR PLAYER,100,Pre-Owned,420,False,
NEW GREEN ICE! 2021-22 PRIZM NBA -PICK YOUR CARD!- ROOKIES INSERTs 20% off 4+,100,,125,False,
2021-22 Panini NBA Sticker & Card Collection-STICKERS 1-250: Free ship on 2+,99,Pre-Owned,057,False,
2021-22 Panini NBA Sticker and Card Collection - STICKERS You Pick 1-500,99,Pre-Owned,075,False,
New ListingLEBRON JAMES 🏀 2003-04 Fleer Tradition Rookie #261 RC | Cleveland Cavaliers ,22500,,535,False,
"New Listing2021-22 Donruss Optic ""Express Lane"" Holo Silver #6 LeBron James ",399,Pre-Owned,0,True,
